Variable;Código;Significado
Sexo;0;Femenino
Sexo;1;Masculino
Procedencia;1;Frutillo
Procedencia;2;Cerrito
Procedencia;3;Higueron
Al;0;Ausencia
Al;1;Ascaris lumbricoides
Complejo;0;Ausencia
Complejo;1;Entamoeba histolytica
Ec;0;Ausencia
Ec;1;Entamoeba coli
En;0;Ausencia
En;1;Endolimax nana
Bsp;0;Ausencia
Bsp;1;Blastocystis sp
Gl;0;Ausencia
Gl;1;Giardia lamblia
Ib;0;Ausencia
Ib;1;Iodamoeba 
Chm;0;Ausencia
Chm;1;Chilomastix mesnili
Ph;0;Ausencia
Ph;1;Pentatrichomonas hominis
Instruccion;1;Ninguna
Instruccion;2;Primaria
Instruccion;3;Secundaria
Instruccion;4;Superior
Ocupacion;1;Hogar
Ocupacion;2;Empleado
Ocupacion;3;Independiente
Ocupacion;4;Jubilado
Material;1;Madera
Material;2;Ladrillo
Material;3;Guadua
Material;4;Tablon
Material;5;Material
Piso;1;Madera 
Piso;2;Cemento 
Piso;3;Tierra 
Piso;4;Ladrillo 
Piso;5;Baldosas 
Alcantarillado;0;No_dispone
Alcantarillado;1;Dispone
Recolector;0;No_dispone
Recolector;1;Dispone
Tipo_agua;1;agua_tubería
Tipo_agua;2;agua_tanquero
Tipo_agua;3;agua_río
Consumo_agua;1;agua_consumida_sin_hervir
Consumo_agua;2;agua_consumida_hervida
Consumo_agua;3;agua_consumida_de_bidon
Excreta;1;Pozo_septico
Excreta;2;Letrina
Excreta;3;Río
Excreta;4;Campo_abierto
Lavado_frutas;1;A_veces1
Lavado_frutas;2;Siempre2
Descalzos;0;No_decalzo
Descalzos;1;Si_descalzo
Tiene_Tierra;0;No
Tiene_Tierra;1;Si
Tiene_animales;0;No
Tiene_animales;1;Si
Lavado_manos_baño;1;A_veces1
Lavado_manos_baño;2;Siempre2
Lavado_manos_comer;1;A_veces1
Lavado_manos_comer;2;Siempre2
Desparasitado;0;No_desparasitado
Desparasitado;1;Si_desparasitado
